,Region,number_of_cars,Population,car-amount-rate
0,The Republic Of Kazakhstan,390962,19765004,19.780517120057247
1,Abai Region,7107,610189,11.647210946116695
2,Akmola Region,168398,787971,213.71091068072303
3,Aktobe Region,132833,928185,143.11047905320598
4,Almaty Region,483233,1505984,320.87525498278865
5,Atyrau Region,98227,693040,141.73352187463928
6,West Kazakhstan Region,1113,688091,1.6175186130904198
7,Jambyl Region,203725,1217955,167.26808461724775
8,Jetisu Region,9974,698675,14.275593086914517
9,Karaganda Region,281402,1134753,247.98524436595454
10,Kostanay Region,164384,832110,197.55080458112508
11,Kyzylorda Region,105598,833531,126.68754971320803
12,Mangystau Region,127832,766956,166.67448980124024
13,Pavlodar Region,150097,754903,198.8295184944291
14,North Kazakhstan Region,12352,534024,23.13004658966638
15,Turkistan Region,174984,2119063,82.57611972838939
16,Ulytau Region,3495,221395,15.786264369114027
17,East Kazakhstan Region,285397,730172,390.86270084308904
18,Astana city,287538,1354435,212.29368703555357
19,Almaty city,484041,2161695,223.91734264084434
20,Shymkent city,137544,1191877,115.40116975157672
